"ID","Sexe","Age","Contrat","Temps","Encadre","Ancienne","Secteur","TailleOr","PGC2","PGC3","PGC4","CSE4","CSE5","CSA5","EVPVP3","EVPVP4","EVPVP5","RECO1","RECO3","RECO5","JUST3","JUST4","JUST6","PPD1","PPD2","PPD3","COM3","COM4","COM5","DL3","DL4","DL5","PI1","PI2","PI3","PD1","PD3","PD5","ENG1","ENG2","ENG3","EPUI1","EPUI2","EPUI3","EPUI4","EPUI5"
"1393","2","37","1","1","1","3","3","2","4","4","4","5","5","4","3","1","5","4","4","4","5","4","5","4","4","3","5","5","5","3","4","4","4","5","4","3","4","5","4","4","4","1","3","3","3","1"
"1394","2","38","1","1","1","6","2","3","5","4","5","4","5","5","4","3","4","5","5","5","5","3","5","2","2","5","4","5","4","4","5","4","4","5","3","4","3","5","3","4","2","3","5","5","5","5"
"1395","2","63","1","2","1","20","1","1","1","2","3","4","2","2","4","5","4","2","1","1","2","3","2","2","2","1","4","5","1","3","3","3","4","3","3","1","1","1","3","3","3","1","2","1","1","1"
"1396","2","29","1","1","1","4","1","1","3","3","2","4","2","3","4","4","5","3","4","4","4","4","4","3","3","2","2","2","5","3","3","3","4","3","3","3","3","4","3","3","3","3","3","2","2","3"
"1397","1","36","1","1","1","13","3","5","2","1","1","1","1","1","2","1","2","2","2","1","3","2","2","1","1","2","1","2","1","2","1","2","1","2","1","1","1","3","3","4","3","2","3","3","3","4"
"1398","1","38","1","2","1","7","3","2","4","4","3","3","2","3","2","3","3","2","2","2","1","2","1","1","2","1","1","2","2","2","2","2","3","3","1","3","3","3","3","4","4","3","3","3","3","3"
"1399","2","38","1","1","2","2","1","4","4","4","3","4","4","4","3","4","4","4","4","4","3","3","4","2","2","2","4","5","4","3","4","3","3","4","5","3","3","3","4","4","2","1","2","1","1","3"
"1400","1","31","1","1","1","2","1","5","4","3","3","4","2","4","3","2","2","2","3","1","1","2","1","1","1","1","2","3","3","3","3","3","3","3","4","3","4","4","3","4","2","1","1","2","1","3"
"1401","1","61","1","1","2","35","1","4","2","3","3","3","3","2","4","4","3","3","2","4","4","3","4","4","4","4","3","3","4","3","2","4","3","3","3","3","2","4","2","2","4","3","3","3","3","3"
"1402","2","31","1","1","1","2.5","2","2","2","3","3","4","3","2","1","2","1","3","1","1","2","1","1","1","1","2","2","2","2","1","2","1","2","3","2","1","3","3","3","4","4","4","4","4","4","3"
"1403","2","28","2","1","1","4","3","5","4","","4","2","2","3","5","5","5","4","4","4","2","3","3","2","2","2","4","3","3","3","3","2","3","3","3","3","2","3","4","3","4","3","3","2","1","3"
"1404","1","59","1","1","1","5","1","5","3","3","3","4","4","4","3","4","3","3","3","3","3","4","3","3","3","3","4","4","2","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","2"
"1405","2","35","1","1","1","12","1","2","5","2","2","2","1","5","3","1","1","2","2","1","2","1","2","1","1","1","2","2","1","1","1","2","5","2","2","3","2","2","3","5","4","5","5","5","5","5"
"1406","2","21","1","2","1","0.58","3","2","3","4","4","5","3","2","5","1","4","3","5","4","3","3","5","4","4","3","4","2","4","4","3","","2","4","4","1","2","2","2","1","1","2","5","5","3","5"
"1407","2","25","1","1","1","2","2","1","4","3","3","3","4","5","5","1","5","3","3","5","3","5","5","5","5","5","2","4","5","5","5","5","5","5","3","2","3","3","5","5","4","3","5","4","2","3"
"1408","2","21","1","1","1","0.04","2","2","4","3","2","2","4","2","1","1","1","4","4","4","5","4","4","5","4","5","5","5","5","4","4","4","3","3","2","1","1","2","3","2","2","3","5","5","4","3"
"1409","2","28","2","1","1","1","3","4","5","4","4","3","4","3","3","1","4","5","4","3","3","4","4","4","5","4","4","1","4","4","3","4","4","4","3","4","3","5","5","5","5","1","3","2","2","2"
"1410","2","36","1","1","3","2","2","2","5","4","5","4","3","3","3","4","5","4","5","4","5","4","4","4","4","4","5","5","4","5","4","5","3","5","4","1","4","4","4","4","4","1","2","1","1","1"
"1411","2","21","2","1","1","0.41","3","5","3","4","4","4","3","4","3","1","3","4","4","3","3","2","4","3","2","3","4","4","3","2","3","2","4","4","4","2","2","1","3","4","3","1","3","1","1","1"
"1412","1","32","1","1","1","2","1","3","1","1","4","1","1","1","2","2","2","3","1","2","3","1","4","1","1","1","4","3","2","1","1","1","2","3","1","1","1","1","4","5","5","1","1","1","1","1"
"1413","1","24","1","1","2","0.08","1","2","4","5","4","5","4","4","4","4","4","4","5","5","4","4","5","4","4","3","4","5","4","4","4","3","4","4","4","3","3","3","4","4","3","2","2","2","2","2"
"1414","2","53","1","1","1","28","1","2","1","2","2","3","2","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","2","1","4","4","3","4","3","3","4","3","3","4"
"1415","1","32","1","1","1","10","3","2","2","2","3","2","3","2","2","1","2","3","2","2","4","4","4","1","1","1","2","2","2","4","3","4","3","4","3","1","3","3","2","3","2","2","2","2","2","4"
"1416","2","46","1","2","1","15","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","5","5","5","5","3"
"1417","2","48","1","1","1","10","1","4","3","3","3","4","4","4","3","1","1","4","3","4","4","4","4","4","4","4","2","1","4","5","4","4","4","2","5","2","2","2","3","4","3","2","2","2","3","2"
"1418","2","42","2","1","1","0.25","1","5","4","3","4","4","4","5","5","5","4","3","3","4","2","3","4","2","2","2","2","5","4","4","4","3","3","2","2","4","4","5","4","3","3","1","2","1","1","1"
"1419","1","53","1","1","2","24","3","5","4","4","2","5","4","5","4","5","3","3","4","2","4","3","2","2","2","2","3","3","3","3","2","3","4","4","4","4","4","4","3","4","3","4","4","3","3","1"
"1420","2","35","1","2","1","15","3","2","3","3","3","3","3","3","1","1","3","2","3","2","3","3","3","2","3","3","3","3","3","3","3","3","2","3","3","2","3","4","5","5","3","2","4","2","2","1"
"1421","1","27","1","1","2","2.5","1","1","3","3","2","4","2","2","3","4","4","4","4","4","5","5","5","2","3","3","3","2","3","4","2","2","3","3","3","1","1","3","3","3","3","2","3","2","1","1"
"1422","1","51","1","1","1","29","1","2","5","3","4","4","2","2","1","1","2","1","4","2","2","2","1","2","1","1","3","3","2","1","3","3","3","4","3","4","2","4","3","4","4","3","4","4","","3"
